First_junc_name,err_dist,Second_junction,,,
KCN,3.626562945,MZP,,,
KCN,,,,,
BEP,,,,,
MJA,,,,,
UND,,,,,
MNF,,,,,
JIA,,,,,
GAE,,,,,
BEO,,,,,
BDL,,,,,
MZP,,,,,
 , , ,,,
MZP,0.55476414,CAR,,,
MZP,,,,,
JHG,,,,,
PRE,,,,,
DAP,,,,,
CAR,,,,,
 , , ,,,
CAR,0.454075493,AVCD,,,
CAR,,,,,
KYT,,,,,
ARW,,,,,
JEP,,,,,
AVCD,,,,,
 , , ,,,
AVCD,0,BHBV,,,
AVCD,,,,,
BHBV,,,,,
 , , ,,,
BHBV,1.785091076,BSB,,,
BHBV,,,,,
VYN,,,,,
BBRM,,,,,
KEI,,,,,
BSB,,,,,
 , , ,,,
MAU,0.357466054,ARJ,,,
MAU,,,,,
PNRA,,,,,
PPH,,,,,
NAKD,,,,,
DLR,,,,,
JKN,,,,,
HMPR,,,,,
SDT,,,,,
MHO,,,,,
ARJ,,,,,
 , , ,,,
ARJ,1.062135029,BSB,,,
ARJ,,,,,
SARR,,,,,
RJI,,,,,
KDQ,,,,,
SRNT,,,,,
BCY,,,,,
BSB,,,,,
 , , ,,,
BSB,1.785091076,BHBV,,,
BSB,,,,,
KEI,,,,,
BBRM,,,,,
VYN,,,,,
BHBV,,,,,
 , , ,,,
BHBV,0,AVCD,,,
BHBV,,,,,
AVCD,,,,,
 , , ,,,
KTE,0,KMZ,,,
KTE,,,,,
KMZ,,,,,
 , , ,,,
KMZ,14.10149987,MAKR,,,
KMZ,,,,,
MJGP,,,,,
HDU,,,,,
PTHD,,,,,
REI,,,,,
BQQ,,,,,
SYA,,,,,
RTGN,,,,,
SAO,,,,,
GTY,,,,,
GEA,,,,,
BNU,,,,,
KYX,,,,,
DMO,,,,,
ANA,,,,,
PHA,,,,,
GAJ,,,,,
DGD,,,,,
GW,,,,,
LDA,,,,,
MKRN,,,,,
SGO,,,,,
RTZ,,,,,
NOI,,,,,
ISH,,,,,
JRK,,,,,
SMRR,,,,,
KYE,,,,,
BJQ,,,,,
MAKR,,,,,
 , , ,,,
MAKR,0,BINA,,,
MAKR,,,,,
BINA,,,,,
 , , ,,,
BINA,6.655827854,NSZ,,,
BINA,,,,,
KIKA,,,,,
MABA,,,,,
KAH,,,,,
CLHT,,,,,
BET,,,,,
RKDI,,,,,
BAQ,,,,,
PAI,,,,,
GLG,,,,,
SUMR,,,,,
SORI,,,,,
BHS,,,,,
BTWN,,,,,
SCI,,,,,
SMT,,,,,
DWG,,,,,
BVB,,,,,
SUW,,,,,
NSZ,,,,,
 , , ,,,
NSZ,0,BPL,,,
NSZ,,,,,
BPL,,,,,
 , , ,,,
BPL,1.376587562,ET,,,
BPL,,,,,
HBJ,,,,,
MSO,,,,,
MDDP,,,,,
ITKL,,,,,
ODG,,,,,
BKA,,,,,
CHQ,,,,,
MIG,,,,,
BNI,,,,,
HBD,,,,,
