First_junc_name,Second_junc_name,err_dist
BSCN,0,BSBN,
BINA,0,AGD,
SC,0.1686979307431933,YY-MLYB,
YY-MLYB,0.9323584761227769,PGDP,
PGDP,1.5977777981308963,KZJ,
KZJ,0,KZJF,
VBC,0,VNC,
VNC,2.9710155936843035,NDD,
NDD,1.6958105719388827,KVR,
KVR,0,RJY,
RJY,5.9194231852691725,SLO,
SLO,4.857805649461982,JGPM,
JGPM,0,SCMN,
SCMN,0.42006811552485634,KTV,
KTV,2.296425177994751,VZM,
VZM,4.820721082151159,NWP,
NWP,4.816540218190554,KUR,
KUR,4.802115518843658,BRAG,
BRAG,0.9177776414896136,CTC,
CTC,0.8744982774472393,NRG,
NRG,0,KIS,
KIS,4.244388259657924,JKPR,
JKPR,7.837783223096057,ROP,
ROP,9.081472841909504,HIJ,
HIJ,0,KGPW,
KGPW,0,KGP,
KGP,1.4647175770526046,PKU,
PKU,0,PKEO,
PKEO,2.2381593528499546,ADL,
ADL,0,XX-MRGC,
XX-MRGC,0,XX-BKNC,
XX-BKNC,0.0823846669655389,BALT,
BALT,0,BTNG,
BTNG,0,CCLW,
CCLW,0,DKAE,
DKAE,0.06209189760049297,KQU,
KQU,1.9123433637654228,SKG,
SKG,0,GRP,
GRP,0.709061554095508,BWN,
BWN,0.6340490107698965,KAN,
KAN,1.5242186967031404,AMP,
AMP,0.7612678778567418,SNT,
SNT,1.132478782981748,RPH,
RPH,0.21653587102351032,NHT,
NHT,3.1920114523739263,BDLC,
BDLC,0,BDAG,
BDAG,1.1822474285275093,NFKS,
NFKS,0,NFK,
NFK,2.4511163204830595,OMLF,
OMLF,0.31024201198974005,EKI,
EKI,1.6558335779507254,KDPR,
KDPR,0.5074507106918734,MFA,
HYB,0.21983260651568673,HSJ,
HSJ,0,XX-SJVB,
XX-SJVB,0.1785977496806621,SC,
SC,0,STDB,
STDB,0.35361801798623227,MJF,
MJF,5.351080330757751,NZB,
NZB,0,JKM,
JKM,1.857223749743213,MUE,
MUE,1.147848840152655,PAU,
RTM,0,DHWS,
DHWS,10.557495433758987,COR,
COR,0,XX-BECE,
XX-BECE,0,BEC,
BEC,0,CNA,
CNA,0,DET,
DET,2.8836198483483475,AII,
AII,0,MDJN,
MDJN,1.3513210433577691,FL,
FL,1.2852006525022461,JP,
CCT,0.7576027032616026,SLO,
NDD,4.138755226466405,BVAC,
BVAC,0,BVBC,
BVBC,4.338223643858805,GDV,
GDV,1.2452905813511626,VNC,
HSJ,0,BMT,
MAS,0,BBQ,
BBQ,0,KOK,
KOK,3.782035510888504,GDR,
ADL,0.16576287900197945,SRC,
