station_code,err_dist
SUM,1.5451326894860562
LS,2.6960605712972936
UGN,4.487111191387268
NR,5.275346544583593
KBSN,5.823751943615344
KW,6.403924342795178
ODHA,7.011818157939151
NK,4.291706125178071
DVL,0.12837585125073175
LT,4.307802305134971
AV,0.3234259632018098
PI,1.4261612869425808
GO,6.12471374972306
IGPX,5.16621582959381
IGP,4.164096372102121
TGR1,1.1783927028634065
TGR2,0
TGR2,0
TGR3,0.6248245928064573
KSRA,1.2675967611646872
OMB,1.6173293125024077
KE,0.8389381373441372
THS,2.3941972502035616
ATG,1.3411325860191998
ASO,1.2937402794879043
VSD,0.07774863589634393
KDV,0.6748720746814172
TLA,2.0128946199185123
ABY,1.3203237887359212
SHAD,1.7008741273987256
KYN,0
KYN,0
KYNX,0.0484400698339915
THK,0
THK,0
DI,0
DI,0
DDCL,0
DDCL,0
KOPR,0
KOPR,0
KOPR,0
DWJN,0
DWJN,0
DWJN,0
